"","inflation_2019","player_name","salary","TEAM","AGE","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","Tax"
"153",2.5,"Cristiano Felicio",8470980,"CHI","26","6'10""","265","None","Brazil","Undrafted","Undrafted","Undrafted","-11.2","player_2019","C",20,0,12.2,1.4,2.4,0.563,0,0.1,0,1.4,2.4,0.574,0.563,0.7,1,0.737,1,2.6,3.5,0.5,0.2,0.1,0.7,1.1,3.4,"3.75%"
"154",2.5,"Markelle Fultz",8339880,"PHI","20","6'4""","200","Washington","USA","2017","1","1","-0.3","player_2019","SG",19,15,22.5,3.4,8.2,0.419,0.2,0.7,0.286,3.2,7.4,0.433,0.432,1.1,1.9,0.568,1.4,2.3,3.7,3.1,0.9,0.3,1.3,2.7,8.2,"3.07%"
"155",2.5,"Jerami Grant",8333333,"OKC","24","6'9""","220","Syracuse","USA","2014","2","39","10.5","player_2019","PF",25,22,30.1,4.3,8.4,0.51,1.2,3.1,0.39,3.1,5.3,0.579,0.581,1.9,2.9,0.667,0.8,4,4.8,1.1,0.7,1.2,1,2.4,11.7,"5.25%"
"156",2.5,"CJ Miles",8333333,"TOR","31","6'6","220","None","USA","2005","2","34","-10.4","player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.60%"
"157",2.5,"Joe Harris",8333333,"BKN","27","6'6","218","Virginia","USA","2014","2","33","1.5","player_2019","SG",25,25,29.6,4.6,9.6,0.481,2.3,5.1,0.449,2.3,4.5,0.518,0.6,1.3,1.6,0.8,0.8,2.9,3.7,2.2,0.6,0.1,1.4,3.1,12.8,"8.82%"
"158",2.5,"Shaun Livingston",8307692,"GSW","33","6'7""","192","None","USA","2004","1","4","2.2","player_2019","PG",19,0,16.6,1.8,4.1,0.449,0,0.1,0,1.8,4.1,0.455,0.449,1,1.3,0.792,0.9,1.3,2.2,2.3,0.6,0.5,0.7,1.3,4.7,NA
"159",2.5,"Deandre Ayton",8175840,"PHX","20","7'1""","250","Arizona","Bahamas","2018","1","1","-6.8","player_2019","C",28,27,30.9,7,11.7,0.598,0,0.1,0,7,11.6,0.601,0.598,1.8,2.4,0.758,2.5,7.8,10.2,2.5,0.5,0.9,1.9,2.8,15.8,"4.54%"
"160",2.5,"Louis Williams",8e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",2.5,"Garrett Temple",8e+06,"MEM","32","6'6","195","Louisiana State","USA","Undrafted","Undrafted","Undrafted","1.8","player_2019","SG",26,26,31.8,3.6,8.2,0.443,1.6,4.2,0.373,2,3.9,0.52,0.54,1.7,2,0.827,0.4,2.8,3.2,1.4,1.1,0.3,1.2,3.1,10.5,"0%"
"162",2.5,"PJ Tucker",7959537,"HOU","33","6'6","245","Texas","USA","2006","2","35","2","player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0%"
